País o territorio, Máx_publicadores , Bautizados , Prom_precursores , Congregaciones , Asistencia_conmemoracion ,Año,
Albania,5637 ,230 ,1351 ,89 ,11927 ,2017,
Alemania,165470 ,2839 ,13699 ,2118 ,267296 ,2017,
Andorra,178 ,1 ,18 ,3 ,352 ,2017,
Angola,143322 ,11758 ,19631 ,1913 ,617099 ,2017,
Anguila,81 ,1 ,10 ,2 ,297 ,2017,
Antigua,485 ,15 ,49 ,7 ,1398 ,2017,
Argentina,150823 ,3962 ,24676 ,1999 ,312070 ,2017,
Armenia,10974 ,295 ,2221 ,134 ,21874 ,2017,
Aruba,1072 ,34 ,87 ,14 ,2879 ,2017,
Australia,67748 ,1272 ,6348 ,798 ,116274 ,2017,
Austria,21567 ,411 ,1667 ,301 ,34712 ,2017, 
Azerbaiyán,1414 ,72 ,349 ,14 ,2865 ,2017,
Azores,755 ,25 ,90 ,15 ,1512 ,2017,
Bahamas,1702 ,43 ,244 ,27 ,4375 ,2017,
Bangladesh,307 ,6 ,138 ,6 ,976 ,2017,
Barbados,2529 ,48 ,206 ,30 ,6003 ,2017,
Bélgica,25480 ,404 ,1864 ,348 ,42998 ,2017,
Belice,2628 ,52 ,516 ,61 ,8348 ,2017,
Benín,12939 ,663 ,1663 ,202 ,43514 ,2017,
Bermudas,480 ,6 ,89 ,5 ,990 ,2017,
Bielorrusia,5913 ,186 ,1205 ,78 ,9767 ,2017,
Bolivia,27699 ,976 ,5947 ,372 ,80663 ,2017,
Bonaire,131 ,,14 ,2 ,333 ,2017,
Bosnia-Herzegovina,1144 ,4 ,192 ,16 ,1855 ,2017,
Botsuana,2245 ,68 ,295 ,44 ,6550 ,2017,
Brasil,858799 ,31740 ,106202 ,12135 ,1822259 ,2017,
Bulgaria,2475 ,51 ,690 ,56 ,5327 ,2017,
Burkina Faso,1863 ,69 ,279 ,46 ,5009 ,2017,
Burundi,13927 ,768 ,2091 ,267 ,51909 ,2017,
Cabo Verde,2239 ,103 ,423 ,33 ,7374 ,2017,
Caimán (islas),257 ,6 ,31 ,3 ,631 ,2017,
Camboya,1120 ,42 ,617 ,14 ,2791 ,2017,
Camerún,43092 ,1517 ,4945 ,461 ,100674 ,2017,
Canadá,115580 ,1902 ,12939 ,1406 ,183587 ,2017,
"Centroafricana, Rep,",2763 ,182 ,326 ,53 ,17255 ,2017,
Chad,863 ,59 ,76 ,18 ,4312 ,2017,
"Checa, Rep,",15587 ,226 ,1263 ,219 ,25837 ,2017,
Chile,78603 ,1872 ,13201 ,991 ,175877 ,2017,
Chipre,2600 ,65 ,454 ,40 ,4709 ,2017,
Chuuk,46 ,,15 ,2 ,225 ,2017,
Colombia,173802 ,6380 ,27056 ,2359 ,515800 ,2017,
"Congo, Rep, del",7270 ,416 ,607 ,81 ,31230 ,2017,
"Congo, Rep, Dem, del",216696 ,14276 ,20685 ,3763 ,1156482 ,2017,
Cook (islas),213 ,1 ,30 ,3 ,547 ,2017,
Corea del Sur,100245 ,1743 ,42554 ,1300 ,132497 ,2017,
Costa de Marfil,11948 ,498 ,1682 ,324 ,75233 ,2017,
Costa Rica,31423 ,1159 ,3654 ,447 ,71445 ,2017,
Croacia,5206 ,85 ,478 ,60 ,7944 ,2017,
Cuba,95385 ,2780 ,10307 ,1569 ,220661 ,2017,
Curazao,2123 ,49 ,233 ,26 ,5310 ,2017,
Dinamarca,14669 ,194 ,1026 ,175 ,21301 ,2017,
Dominica,453 ,6 ,74 ,10 ,1365 ,2017,
"Dominicana, Rep,",38286 ,1449 ,7487 ,585 ,120171 ,2017,
Ecuador,92752 ,3552 ,16824 ,1074 ,267182 ,2017,
El Salvador,41424 ,1036 ,5625 ,709 ,90332 ,2017,
Eslovaquia,11395 ,208 ,966 ,139 ,20847 ,2017,
Eslovenia,1881 ,29 ,241 ,30 ,2934 ,2017,
España,112916 ,2037 ,16131 ,1499 ,188092 ,2017,
Estados Unidos,1232293 ,27674 ,181879 ,13578 ,2459741 ,2017,
Estonia,4053 ,61 ,516 ,56 ,6159 ,2017,
Etiopía,10355 ,392 ,2454 ,222 ,24910 ,2017,
Feroe (islas),130 ,1 ,28 ,4 ,186 ,2017,
Filipinas,210914 ,10781 ,44860 ,3383 ,575813 ,2017,
Finlandia,18372 ,236 ,2105 ,291 ,25447 ,2017,
Fiyi,3278 ,152 ,489 ,80 ,11986 ,2017,
Francia,128980 ,2472 ,15219 ,1708 ,220124 ,2017,
Gabón,4499 ,166 ,599 ,50 ,12704 ,2017,
Gambia,213 ,8 ,28 ,4 ,576 ,2017,
Georgia,18150 ,395 ,3393 ,225 ,30044 ,2017,
Ghana,135498 ,6743 ,15267 ,2019 ,340731 ,2017,
Gibraltar,124 ,,17 ,2 ,171 ,2017,
Gran Bretaña,137468 ,2216 ,14302 ,1626 ,222201 ,2017,
Granada,569 ,4 ,71 ,10 ,1446 ,2017,
Grecia,28773 ,510 ,4201 ,370 ,44748 ,2017,
Groenlandia,173 ,1 ,39 ,5 ,348 ,2017,
Guadalupe,8207 ,198 ,726 ,120 ,19092 ,2017,
Guam,726 ,21 ,142 ,9 ,1852 ,2017,
Guatemala,40222 ,1783 ,6572 ,902 ,96767 ,2017,
Guayana Francesa,2614 ,93 ,428 ,49 ,10049 ,2017,
Guinea,929 ,55 ,119 ,20 ,3728 ,2017,
Guinea-Bissau,170 ,5 ,45 ,3 ,745 ,2017,
Guinea Ecuatorial,2147 ,142 ,255 ,17 ,7670 ,2017,
Guyana,3545 ,119 ,500 ,48 ,12315 ,2017,
Haití,20472 ,1057 ,2853 ,290 ,79415 ,2017,
Honduras,23106 ,987 ,4435 ,445 ,65718 ,2017,
Hong Kong,5452 ,454 ,1041 ,63 ,9101 ,2017,
Hungría,21853 ,392 ,1942 ,295 ,37831 ,2017,
India,46996 ,2592 ,7821 ,660 ,126809 ,2017,
Indonesia,27475 ,675 ,4136 ,492 ,56795 ,2017,
Irlanda,6747 ,68 ,1001 ,120 ,12082 ,2017,
Islandia,377 ,8 ,52 ,7 ,695 ,2017,
Israel,1707 ,46 ,268 ,30 ,3594 ,2017,
Italia,251192 ,4542 ,36938 ,2955 ,431035 ,2017,
Jamaica,11525 ,327 ,1559 ,186 ,33029 ,2017,
Japón,213473 ,1970 ,65821 ,3047 ,291158 ,2017,
Kazajistán,17639 ,411 ,3781 ,260 ,30112 ,2017,
Kenia,28222 ,1700 ,3605 ,639 ,70011 ,2017,
Kirguistán,5235 ,225 ,1184 ,71 ,10067 ,2017,
Kiribati,179 ,11 ,34 ,4 ,403 ,2017,
Kosovo,269 ,2 ,110 ,8 ,625 ,2017,
Kosrae,19 ,,5 ,1 ,106 ,2017,
Lesoto,4067 ,230 ,470 ,90 ,9955 ,2017,
Letonia,2278 ,42 ,336 ,36 ,3366 ,2017,
Liberia,6808 ,379 ,709 ,138 ,49606 ,2017,
Liechtenstein,89 ,1 ,1 ,1 ,148 ,2017,
Lituania,3056 ,66 ,445 ,46 ,4747 ,2017,
Luxemburgo,2172 ,59 ,165 ,33 ,3889 ,2017,
Macao,305 ,5 ,74 ,4 ,630 ,2017,
Macedonia,1320 ,58 ,175 ,24 ,2821 ,2017,
Madagascar,34980 ,1224 ,5978 ,736 ,139608 ,2017,
Madeira,1119 ,24 ,105 ,18 ,1834 ,2017,
Malasia,5069 ,151 ,1387 ,118 ,12780 ,2017,
Malaui,93412 ,10854 ,7127 ,1540 ,315784 ,2017,
Mali,307 ,7 ,51 ,7 ,1267 ,2017,
Malta,757 ,15 ,96 ,9 ,1204 ,2017,
Malvinas (islas),11 ,,1 ,1 ,23 ,2017,
Marshall (islas),188 ,6 ,30 ,4 ,888 ,2017,
Martinica,4809 ,118 ,618 ,65 ,10310 ,2017,
Mauricio,1922 ,34 ,212 ,25 ,4359 ,2017,
Mayotte,165 ,11 ,41 ,3 ,367 ,2017,
México,871207 ,32408 ,145041 ,13331 ,2257346 ,2017,
Moldavia,19553 ,490 ,2365 ,233 ,34657 ,2017,
Mongolia,482 ,15 ,205 ,10 ,1275 ,2017,
Montenegro,271 ,2 ,65 ,5 ,566 ,2017,
Montserrat,27 ,,12 ,1 ,158 ,2017,
Mozambique,59990 ,3236 ,5206 ,1254 ,283861 ,2017,
Myanmar,4296 ,158 ,639 ,79 ,8659 ,2017,
Namibia,2473 ,168 ,263 ,45 ,7779 ,2017,
Nauru,21 ,1 ,2 ,1 ,123 ,2017,
Nepal,2506 ,132 ,861 ,40 ,7346 ,2017,
Nicaragua,29082 ,1054 ,4487 ,491 ,88198 ,2017,
Nieves,62 ,,3 ,1 ,239 ,2017,
Níger,316 ,6 ,38 ,7 ,866 ,2017,
Nigeria,381398 ,13531 ,39389 ,6533 ,800874 ,2017,
Niue,24 ,,3 ,1 ,67 ,2017,
Norfolk (isla),7 ,,,1 ,18 ,2017,
Noruega,11652 ,214 ,1064 ,167 ,18100 ,2017,
Nueva Caledonia,2383 ,81 ,244 ,34 ,5964 ,2017,
Nueva Zelanda,14150 ,363 ,1334 ,187 ,26735 ,2017,
Países Bajos,29756 ,494 ,2001 ,360 ,50429 ,2017,
Pakistán,1109 ,27 ,99 ,19 ,3956 ,2017,
Palaos,85 ,3 ,13 ,2 ,231 ,2017,
"Palestino, Territorio",83 ,3 ,11 ,2 ,177 ,2017,
Panamá,17620 ,571 ,3030 ,326 ,53494 ,2017,
Papúa Nueva Guinea,4291 ,277 ,518 ,116 ,34395 ,2017,
Paraguay,10413 ,372 ,1825 ,230 ,24430 ,2017,
Perú,128467 ,4461 ,28889 ,1482 ,360210 ,2017,
Polonia,118036 ,1571 ,8244 ,1294 ,185246 ,2017,
Ponapé,68 ,,23 ,1 ,209 ,2017,
Portugal,49466 ,994 ,4638 ,652 ,87239 ,2017,
Puerto Rico,25187 ,560 ,3865 ,306 ,50492 ,2017,
Reunión,3270 ,83 ,426 ,38 ,6517 ,2017,
Rodríguez,53 ,2 ,8 ,1 ,154 ,2017,
Rota,11 ,,3 ,1 ,29 ,2017,
Ruanda,28972 ,1680 ,5146 ,571 ,80093 ,2017,
Rumania,40101 ,886 ,3956 ,551 ,75587 ,2017,
Saba,12 ,,3 ,,74 ,2017,
Saipán,245 ,11 ,40 ,3 ,731 ,2017,
Salomón (islas),2066 ,62 ,250 ,53 ,10405 ,2017,
Samoa,510 ,37 ,95 ,13 ,2385 ,2017,
Samoa Norteamericana,189 ,,38 ,3 ,625 ,2017,
San Bartolomé,34 ,,6 ,1 ,55 ,2017,
San Cristóbal,217 ,3 ,27 ,4 ,705 ,2017,
San Eustaquio,29 ,,3 ,1 ,95 ,2017,
San Marino,191 ,,30 ,2 ,306 ,2017,
"San Martín (terr, francés)",311 ,2 ,25 ,5 ,954 ,2017,
"San Martín (terr, holandés)",344 ,15 ,38 ,5 ,1101 ,2017,
San Pedro y Miquelón,14 ,,7 ,1 ,14 ,2017,
San Vicente y las Granadinas,344 ,8 ,43 ,8 ,1139 ,2017,
Santa Elena,115 ,1 ,,3 ,269 ,2017,
Santa Lucía,783 ,17 ,106 ,11 ,2177 ,2017,
Santo Tomé y Príncipe,831 ,49 ,133 ,13 ,3384 ,2017,
Senegal,1353 ,37 ,170 ,26 ,2795 ,2017,
Serbia,3922 ,93 ,626 ,67 ,8144 ,2017,
Seychelles,341 ,13 ,44 ,4 ,953 ,2017,
Sierra Leona,2262 ,101 ,261 ,39 ,8831 ,2017,
Sri Lanka,6165 ,194 ,817 ,114 ,14570 ,2017,
Suazilandia,3212 ,144 ,302 ,81 ,9020 ,2017,
Sudáfrica,104395 ,3525 ,12957 ,2047 ,267800 ,2017,
Sudán,703 ,16 ,83 ,15 ,2517 ,2017,
Sudán del Sur,1334 ,111 ,172 ,35 ,5225 ,2017,
Suecia,22418 ,293 ,2391 ,309 ,34966 ,2017,
Suiza,19251 ,340 ,1243 ,273 ,31952 ,2017,
Surinam,3106 ,120 ,338 ,55 ,10237 ,2017,
Tahití,3219 ,108 ,515 ,48 ,9136 ,2017,
Tailandia,4868 ,114 ,1758 ,122 ,9535 ,2017,
Taiwán,10498 ,611 ,3536 ,169 ,19545 ,2017,
Tanzania,17878 ,1302 ,1923 ,465 ,56344 ,2017,
Timor Oriental,349 ,34 ,73 ,5 ,1002 ,2017,
Tinián,17 ,,2 ,1 ,45 ,2017,
Togo,20683 ,846 ,2145 ,297 ,66927 ,2017,
Tonga,221 ,15 ,26 ,3 ,582 ,2017,
Trinidad y Tobago,9892 ,221 ,1329 ,126 ,23585 ,2017,
Turcas y Caicos (islas),384 ,10 ,49 ,6 ,1215 ,2017,
Turquía,3030 ,118 ,629 ,40 ,5431 ,2017,
Tuvalu,125 ,6 ,5 ,1 ,178 ,2017,
Ucrania,140300 ,3125 ,19888 ,1610 ,229126 ,2017,
Uganda,7542 ,517 ,1092 ,149 ,24837 ,2017,
Uruguay,11825 ,297 ,1233 ,156 ,23426 ,2017,
Vanuatu,770 ,87 ,81 ,15 ,2925 ,2017,
Venezuela,149355 ,6765 ,33353 ,1886 ,478266 ,2017,
"Vírgenes Brit, (islas)",241 ,,34 ,4 ,802 ,2017,
"Vírgenes de EE, UU, (islas)",607 ,14 ,112 ,10 ,1503 ,2017,
Wallis y Futuna (islas),46 ,,1 ,1 ,198 ,2017,
Yap,27 ,1 ,10 ,1 ,112 ,2017,
Zambia,191311 ,11884 ,15232 ,3126 ,883246 ,2017,
Zimbabue,46440 ,2417 ,6365 ,1239 ,120065 ,2017,
