País o territorio, Máx_publicadores , Bautizados ,  Prom_precursores  ,  Congregaciones  ,  Asistencia_conmemoracion  ,Año
Albania,5647,143,1332,93,11866,2018
Alemania,165870,2791,13998,2105,262628,2018
Andorra,178,3,16,3,354,2018
Angola,155991,12215,22994,2111,635980,2018
Anguila,67,,11,2,225,2018
Antigua,479,9,48,7,1337,2018
Argentina,153342,4229,24075,1980,312994,2018
Armenia,10977,262,2213,134,21843,2018
Aruba,1080,31,96,14,2898,2018
Australia,68247,1250,6578,786,116581,2018
Austria,21563,332,1690,299,34118,2018
Azerbaiyán,1430,77,335,14,2874,2018
Azores,767,11,102,15,1528,2018
Bahamas,1762,46,244,27,4237,2018
Bangladesh,303,15,137,6,839,2018
Barbados,2496,55,190,30,5573,2018
Bélgica,25429,425,1939,339,43326,2018
Belice,2673,125,534,63,7987,2018
Benín,13644,587,1725,209,44661,2018
Bermudas,521,8,88,5,927,2018
Bielorrusia,6146,224,1255,80,10046,2018
Bolivia,27776,1414,6684,404,86800,2018
Bonaire,160,,20,2,351,2018
Bosnia-Herzegovina,1108,10,179,16,1690,2018
Botsuana,2316,118,306,45,6225,2018
Brasil,869537,32457,113750,12270,1827079,2018
Bulgaria,2530,52,702,55,5424,2018
Burkina Faso,1958,74,277,48,4309,2018
Burundi,14508,921,2211,266,50681,2018
Cabo Verde,2317,119,417,34,7874,2018
Caimán (islas),265,3,34,3,620,2018
Camboya,1156,27,648,16,3023,2018
Camerún,43965,1764,5198,486,98947,2018
Canadá,115959,1703,13125,1402,183048,2018
"Centroafricana, Rep,",2889,138,306,56,17622,2018
Chad,847,69,76,19,4558,2018
"Checa, Rep,",15442,228,1274,216,26370,2018
Chile,80451,2140,13280,1012,177431,2018
Chipre,2659,45,454,43,4674,2018
Chuuk,47,2,17,2,181,2018
Colombia,181691,6482,27657,2243,512386,2018
"Congo, Rep, del",7899,550,737,88,34550,2018
"Congo, Rep, Dem, del",229740,15825,20940,3772,1220046,2018
Cook (islas),196,3,26,3,482,2018
Corea del Sur,101246,1770,43692,1278,135489,2018
Costa de Marfil,11938,525,1657,324,69529,2018
Costa Rica,31786,1023,3711,451,69999,2018
Croacia,5042,81,438,59,7579,2018
Cuba,95031,2537,9985,1503,230936,2018
Curazao,2057,60,229,26,5259,2018
Dinamarca,14644,227,1075,173,20923,2018
Dominica,428,17,60,10,1046,2018
"Dominicana, Rep,",38606,1307,7234,577,113928,2018
Ecuador,97168,4449,17887,1119,276542,2018
El Salvador,40900,1006,5362,738,88132,2018
Eslovaquia,11293,188,929,134,20639,2018
Eslovenia,1841,17,232,30,2842,2018
España,114544,2230,16423,1486,189369,2018
Estados Unidos,1234877,26618,181822,13016,2441125,2018
Estonia,4036,88,510,57,6265,2018
Etiopía,10472,395,2416,221,23401,2018
Feroe (islas),123,,28,4,170,2018
Filipinas,217220,9330,46757,3419,601325,2018
Finlandia,18324,241,2132,290,24814,2018
Fiyi,3250,127,505,82,11131,2018
Francia,129974,2126,15012,1687,222822,2018
Gabón,4604,185,609,53,11002,2018
Gambia,246,4,32,5,597,2018
Georgia,18173,456,3334,219,31930,2018
Ghana,140274,6260,15639,2097,387138,2018
Gibraltar,128,4,18,2,156,2018
Gran Bretaña,139783,2293,14424,1615,221205,2018
Granada,595,5,65,10,1215,2018
Grecia,28254,524,4059,359,44777,2018
Groenlandia,165,5,35,5,318,2018
Guadalupe,8332,207,708,121,19065,2018
Guam,745,11,159,10,1878,2018
Guatemala,40490,1315,6688,884,96570,2018
Guayana Francesa,2694,109,429,47,10535,2018
Guinea,1015,49,119,20,4059,2018
Guinea-Bissau,171,8,44,3,642,2018
Guinea Ecuatorial,2272,165,279,22,8342,2018
Guyana,3121,132,472,48,13330,2018
Haití,19951,995,2788,282,82913,2018
Honduras,23430,883,4276,450,63549,2018
Hong Kong,5571,498,1104,63,9880,2018
Hungría,21412,411,1861,294,36677,2018
India,48615,1702,7958,684,136916,2018
Indonesia,28283,1442,4283,492,58658,2018
Irlanda,7061,131,1048,120,11842,2018
Islandia,387,7,55,7,713,2018
Israel,1808,42,309,31,4179,2018
Italia,251502,4307,37435,2921,417090,2018
Jamaica,11425,315,1522,178,31962,2018
Japón,212802,2050,65890,3025,294296,2018
Kazajistán,17507,517,3869,261,30809,2018
Kenia,29860,1160,3643,641,73103,2018
Kirguistán,5420,183,1223,83,10321,2018
Kiribati,150,9,33,3,557,2018
Kosovo,262,7,110,8,579,2018
Kosrae,18,,6,1,82,2018
Lesoto,4248,169,517,91,10919,2018
Letonia,2216,42,328,37,3288,2018
Liberia,7286,333,707,141,46011,2018
Liechtenstein,90,,2,1,132,2018
Lituania,3026,55,435,46,4661,2018
Luxemburgo,2141,41,182,33,3861,2018
Macao,346,7,86,5,765,2018
Macedonia,1281,54,159,23,2870,2018
Madagascar,35823,2382,5826,778,136847,2018
Madeira,1152,20,118,19,1836,2018
Malasia,5350,292,1440,118,13584,2018
Malaui,95203,6692,7331,1571,339734,2018
Mali,322,13,56,7,1096,2018
Malta,774,20,101,10,1274,2018
Malvinas (islas),15,,1,1,24,2018
Marshall (islas),226,4,31,4,793,2018
Martinica,4901,106,583,62,10233,2018
Mauricio,1917,94,205,26,4234,2018
Mayotte,177,4,43,3,358,2018
México,871339,29134,143820,13245,2214594,2018
Moldavia,19213,497,2224,210,34199,2018
Mongolia,459,8,210,9,1269,2018
Montenegro,274,10,57,5,571,2018
Montserrat,34,,17,1,162,2018
Mozambique,64536,4065,5491,1289,306876,2018
Myanmar,4499,123,673,82,9585,2018
Namibia,2476,44,272,45,8202,2018
Nauru,19,,2,1,83,2018
Nepal,2629,147,910,41,8097,2018
Nicaragua,29243,809,4499,502,88303,2018
Nieves,65,,3,1,225,2018
Níger,332,18,37,7,860,2018
Nigeria,390250,13256,40430,6547,806256,2018
Niue,22,,2,1,52,2018
Norfolk (isla),9,,1,1,26,2018
Noruega,11745,234,1134,167,17235,2018
Nueva Caledonia,2489,107,265,32,7255,2018
Nueva Zelanda,14301,287,1338,186,26513,2018
Países Bajos,29603,482,2034,357,49622,2018
Pakistán,1140,44,87,20,3622,2018
Palaos,80,1,8,2,221,2018
"Palestinos, Territorios",68,4,12,2,147,2018
Panamá,17780,574,3011,321,53238,2018
Papúa Nueva Guinea,5141,393,546,118,39086,2018
Paraguay,10750,483,1873,239,22796,2018
Perú,131624,3913,28750,1493,370882,2018
Polonia,116299,1508,8383,1288,180603,2018
Ponapé,67,,19,1,183,2018
Portugal,49299,1072,4638,652,86182,2018
Puerto Rico,23632,472,3753,299,46097,2018
Reunión,3380,87,451,41,6535,2018
Rodríguez,57,,16,1,183,2018
Rota,12,,3,1,23,2018
Ruanda,30076,1777,5272,553,80601,2018
Rumania,39788,738,3990,538,75082,2018
Saba,11,,2,,65,2018
Saipán,217,14,37,3,498,2018
Salomón (islas),2077,120,228,52,9953,2018
Samoa,538,38,99,12,2300,2018
Samoa Norteamericana,194,8,36,3,682,2018
San Bartolomé,34,,5,1,66,2018
San Cristóbal,216,8,27,4,684,2018
San Eustaquio,30,,3,1,102,2018
San Marino,198,,35,2,313,2018
"San Martín (terr, francés)",300,3,27,5,1047,2018
"San Martín (terr, holandés)",361,14,40,5,876,2018
San Pedro y Miquelón,12,,6,1,19,2018
San Vicente y las Granadinas,344,2,41,8,982,2018
Santa Elena,117,,,3,246,2018
Santa Lucía,819,23,114,11,1760,2018
Santo Tomé y Príncipe,875,54,142,13,3231,2018
Senegal,1369,38,169,29,2725,2018
Serbia,3933,90,637,66,8149,2018
Seychelles,338,6,41,4,906,2018
Sierra Leona,2349,130,297,40,7179,2018
Sri Lanka,6482,395,797,115,15656,2018
Suazilandia,3316,133,322,80,8272,2018
Sudáfrica,105232,4581,13209,2034,262126,2018
Sudán,633,22,95,14,2319,2018
Sudán del Sur,1697,96,177,32,5435,2018
Suecia,22330,321,2400,306,34035,2018
Suiza,19354,240,1313,272,31329,2018
Surinam,3133,126,336,56,10061,2018
Tahití,3250,116,508,48,9196,2018
Tailandia,5170,154,1923,125,10347,2018
Taiwán,10839,344,3603,181,20626,2018
Tanzania,18705,1066,1950,455,58620,2018
Timor Oriental,366,28,82,5,845,2018
Tinián,14,,1,1,41,2018
Togo,21755,794,2290,307,64898,2018
Tonga,209,6,30,2,511,2018
Trinidad y Tobago,10030,274,1322,127,24401,2018
Turcas y Caicos (islas),338,10,49,6,985,2018
Turquía,3506,121,841,47,6275,2018
Tuvalu,88,9,7,1,224,2018
Ucrania,138513,2897,18457,1522,217417,2018
Uganda,8179,486,1116,152,28147,2018
Uruguay,11915,323,1283,152,23579,2018
Vanuatu,753,64,84,16,3797,2018
Venezuela,148042,7259,32152,1801,452717,2018
"Vírgenes Brit, (islas)",260,,34,4,699,2018
"Vírgenes de EE, UU, (islas)",607,8,118,10,1549,2018
Wallis y Futuna (islas),52,1,3,1,275,2018
Yap,30,3,10,1,124,2018
Zambia,204176,16218,16362,3249,931426,2018
Zimbabue,48278,2079,6678,1353,122058,2018
