País o territorio,  Máx_publicadores  ,  Bautizados  ,  Prom_precursores  ,  Congregaciones  ,  Asistencia_conmemoracion  ,Año
Albania,5612,160,1282,87,14252,2020
Alemania,164486,3102,15146,2087,246904,2020
Andorra,173,,14,3,383,2020
Angola,167638,8291,24860,2421,371823,2020
Anguila,65,,11,1,156,2020
Antigua,483,6,39,7,876,2020
Argentina,156765,3080,25252,1976,355842,2020
Armenia,10652,189,2051,130,22723,2020
Aruba,1103,34,112,14,3062,2020
Australia,69146,1435,7038,754,107233,2020
Austria,21550,291,1821,292,31937,2020
Azerbaiyán,1592,55,393,14,3286,2020
Azores,802,19,112,15,1654,2020
Bahamas,1795,24,252,28,3426,2020
Bangladesh,330,24,152,6,750,2020
Barbados,2428,35,176,30,4317,2020
Bélgica,25396,451,2079,338,43943,2020
Belice,2630,49,514,58,6454,2020
Benín,14360,495,1830,235,29761,2020
Bermudas,450,3,80,5,798,2020
Bielorrusia,6238,151,1307,83,9635,2020
Bolivia,29397,1497,7578,459,84794,2020
Bonaire,123,,17,2,311,2020
Bosnia-Herzegovina,1049,12,171,16,1677,2020
Botsuana,2302,105,341,44,4854,2020
Brasil,897056,29330,121295,12531,1627323,2020
Bulgaria,2605,73,666,54,5608,2020
Burkina Faso,2027,57,237,48,3601,2020
Burundi,15734,874,2486,271,47890,2020
Cabo Verde,2284,79,370,35,5419,2020
Caimán (islas),289,1,40,3,620,2020
Camboya,1199,47,629,18,1869,2020
Camerún,43542,1301,5778,582,84320,2020
Canadá,115661,1565,13674,1194,167289,2020
"Centroafricana, Rep.",2962,223,285,62,11920,2020
Chad,904,71,76,20,3240,2020
"Checa, Rep.",15439,210,1328,212,25075,2020
Chile,85273,2702,14639,959,180281,2020
Chipre,2754,55,485,41,4808,2020
Chuuk,41,,9,2,87,2020
Colombia,188368,5410,28633,2316,498494,2020
"Congo, Rep. del",9192,368,1096,117,21820,2020
"Congo, Rep. Dem. del",240982,9862,20950,4161,1009808,2020
Cook (islas),226,7,27,3,398,2020
Corea del Sur,103366,2031,46337,1268,125510,2020
Costa de Marfil,12269,281,1613,323,29851,2020
Costa Rica,32103,942,3791,439,70877,2020
Croacia,4802,42,421,58,6727,2020
Cuba,94873,3310,9399,1418,178495,2020
Curazao,2019,35,222,25,4510,2020
Dinamarca,14573,167,1173,174,20384,2020
Dominica,426,4,51,10,966,2020
"Dominicana, Rep.",41590,1127,7230,560,110445,2020
Ecuador,101387,3332,19096,1214,298855,2020
El Salvador,39751,831,4724,671,81220,2020
Eslovaquia,11061,222,900,133,21216,2020
Eslovenia,1775,13,243,30,2610,2020
España,117236,2047,18233,1470,206434,2020
Estados Unidos,1242976,24462,185616,12355,2068674,2020
Estonia,3986,53,547,56,5932,2020
Esuatini,3362,121,360,80,7398,2020
Etiopía,10823,455,2378,215,20676,2020
Feroe (islas),129,,25,4,170,2020
Filipinas,232587,8268,49859,3529,562828,2020
Finlandia,18190,182,2101,280,24160,2020
Fiyi,3169,135,529,82,9476,2020
Francia,131754,2624,16143,1568,226879,2020
Gabón,4509,120,580,60,9311,2020
Gambia,271,9,37,5,577,2020
Georgia,18104,320,3243,214,33204,2020
Ghana,147481,6131,15721,2271,284637,2020
Gibraltar,147,,16,2,171,2020
Gran Bretaña,141412,1396,15180,1615,211199,2020
Granada,579,13,76,10,1116,2020
Grecia,28152,569,4132,355,43748,2020
Groenlandia,144,,32,5,297,2020
Guadalupe,8290,168,734,120,16992,2020
Guam,770,26,177,9,1627,2020
Guatemala,40334,1001,6537,869,95333,2020
Guayana Francesa,2960,126,449,47,9636,2020
Guinea,1078,107,138,27,2687,2020
Guinea-Bisáu,211,17,55,4,729,2020
Guinea Ecuatorial,2415,106,328,35,5785,2020
Guyana,3351,126,500,51,9263,2020
Haití,20254,833,2698,270,41559,2020
Honduras,22891,624,4069,437,61078,2020
Hong Kong,5594,178,1233,66,9219,2020
Hungría,21060,361,1836,291,36666,2020
India,53105,1567,7813,978,151288,2020
Indonesia,29865,931,4719,524,50876,2020
Irlanda,7104,52,1189,120,11709,2020
Islandia,392,6,55,7,658,2020
Israel,1957,49,341,31,3653,2020
Italia,250868,3928,38630,2874,503363,2020
Jamaica,11361,224,1368,151,23145,2020
Japón,212683,1910,66206,2964,273856,2020
Kazajistán,17330,207,4091,262,29324,2020
Kenia,29545,988,3587,651,62736,2020
Kirguistán,5266,105,1289,86,10161,2020
Kiribati,137,2,30,3,426,2020
Kosovo,263,7,110,8,708,2020
Kosrae,14,,3,1,40,2020
Lesoto,4312,197,539,94,8471,2020
Letonia,2200,33,332,31,3227,2020
Liberia,7272,479,737,150,19341,2020
Liechtenstein,92,,4,1,137,2020
Lituania,2907,41,436,44,4340,2020
Luxemburgo,2153,,223,31,3853,2020
Macao,394,9,123,5,845,2020
Macedonia del Norte,1279,15,175,24,3044,2020
Madagascar,38430,1971,6720,871,104470,2020
Madeira,1167,15,130,19,1868,2020
Malasia,5637,179,1650,123,11611,2020
Malaui,102060,6136,8485,1718,285054,2020
Mali,362,16,61,7,710,2020
Malta,783,13,106,10,1245,2020
Malvinas (islas),15,,3,1,17,2020
Marshall (islas),134,8,21,4,462,2020
Martinica,4793,97,596,57,9903,2020
Mauricio,1960,55,228,27,4707,2020
Mayotte,198,7,51,4,349,2020
México,874144,22627,137818,13032,1954849,2020
Moldavia,18467,332,2168,203,33955,2020
Mongolia,459,15,202,8,773,2020
Montenegro,319,2,79,6,635,2020
Montserrat,40,,16,1,76,2020
Mozambique,68996,2763,6688,1297,238288,2020
Myanmar,4921,220,928,99,8240,2020
Namibia,2663,165,316,47,6782,2020
Nauru,16,,2,1,76,2020
Nepal,2699,221,838,43,6524,2020
Nicaragua,29594,1038,4604,470,70713,2020
Nieves,71,,5,1,160,2020
Níger,347,19,48,9,616,2020
Nigeria,374228,12649,40654,6571,674754,2020
Niue,22,,2,1,83,2020
Norfolk (isla),6,,,1,11,2020
Noruega,11789,157,1220,166,17471,2020
Nueva Caledonia,2634,124,289,35,6459,2020
Nueva Zelanda,14152,341,1410,171,23847,2020
Países Bajos,29279,476,2182,351,41716,2020
Pakistán,1033,21,63,16,3825,2020
Palaos,95,4,15,2,209,2020
"Palestinos, Territorios",60,,7,2,173,2020
Panamá,18413,494,3091,326,48448,2020
Papúa Nueva Guinea,5479,367,688,115,38787,2020
Paraguay,11051,348,2039,226,25792,2020
Perú,133170,3441,29041,1598,355914,2020
Polonia,113980,999,8481,1274,170188,2020
Ponapé,60,2,19,1,120,2020
Portugal,50022,887,5073,653,81797,2020
Puerto Rico,23605,454,3675,237,42544,2020
Reunión,3413,84,475,42,6265,2020
Rodríguez,76,2,12,1,156,2020
Rota,6,,1,1,10,2020
Ruanda,31397,780,5367,570,69208,2020
Rumania,39328,568,4207,535,74363,2020
Saba,16,,4,,24,2020
Saipán,235,7,43,3,443,2020
Salomón (islas),2039,111,217,50,10704,2020
Samoa,542,19,100,12,1975,2020
Samoa Norteamericana,150,,27,3,520,2020
San Bartolomé,38,,6,1,72,2020
San Cristóbal,220,2,30,3,565,2020
San Eustaquio,27,,3,1,65,2020
San Marino,194,,47,2,483,2020
San Martín (terr. francés),288,4,28,5,716,2020
San Martín (terr. holandés),332,12,39,4,860,2020
San Pedro y Miquelón,14,,7,1,19,2020
San Vicente y las Granadinas,318,8,42,8,665,2020
Santa Elena,113,2,,3,178,2020
Santa Lucía,811,11,113,11,1709,2020
Santo Tomé y Príncipe,929,55,141,14,2255,2020
Senegal,1400,35,184,33,2489,2020
Serbia,3837,79,650,63,7288,2020
Seychelles,363,10,37,5,976,2020
Sierra Leona,2520,182,325,43,5379,2020
Sri Lanka,6781,260,828,112,16122,2020
Sudáfrica,105133,3441,13093,2070,215285,2020
Sudán,672,50,131,14,1602,2020
Sudán del Sur,1515,87,202,33,4112,2020
Suecia,22333,301,2510,285,32068,2020
Suiza,19082,301,1488,268,30068,2020
Surinam,3144,127,346,57,8124,2020
Tahití,3255,87,476,46,8917,2020
Tailandia,5538,176,2106,142,8322,2020
Taiwán,11379,384,3984,190,16678,2020
Tanzania,19029,797,2159,444,51771,2020
Timor Oriental,399,41,107,5,995,2020
Tinián,12,,1,1,38,2020
Togo,22120,741,2489,327,44358,2020
Tonga,265,14,41,2,474,2020
Trinidad y Tobago,10221,291,1318,132,23364,2020
Turcas y Caicos (islas),345,10,49,6,782,2020
Turquía,4875,149,1633,63,8658,2020
Tuvalu,89,3,3,3,194,2020
Ucrania,128614,2344,17561,1502,230656,2020
Uganda,9011,504,1183,163,21525,2020
Uruguay,12081,211,1408,150,24153,2020
Vanuatu,1001,26,116,17,2234,2020
Venezuela,136542,6489,30340,1734,319962,2020
Vírgenes Brit. (islas),225,,31,4,589,2020
Vírgenes de EE. UU. (islas),561,5,108,8,1034,2020
Wallis y Futuna (islas),67,,3,1,231,2020
Yap,33,2,10,1,93,2020
Zambia,225139,13539,18396,3528,711397,2020
Zimbabue,49648,1840,7452,1395,118029,2020
